label	element_name	interpro_id
0	Helix-turn-helix motif	IPR000047
1	Nitrilase/cyanide hydratase, conserved site	IPR000132
2	GPS motif	IPR000203
3	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site	IPR000283
4	D-alanine--D-alanine ligase/VANA/B/C, conserved site	IPR000291
5	Nitrogenase component 1, conserved site	IPR000318
6	MoaA/NifB/PqqE, iron-sulphur binding, conserved site	IPR000385
7	TPP-binding enzyme, conserved site	IPR000399
8	ATP-dependent RNA helicase DEAD-box, conserved site	IPR000629
9	Iron-sulfur cluster carrier protein-like, conserved site	IPR000808
10	CC chemokine, conserved site	IPR000827
11	Phosphoribosyl pyrophosphate synthetase, conserved site	IPR000842
12	Legume lectin, alpha chain, conserved site	IPR000985
13	Large ribosomal subunit protein uL23, conserved site	IPR001014
14	Peptidase M24B, X-Pro dipeptidase/aminopeptidase P, conserved site	IPR001131
15	Large ribosomal subunit protein uL15, conserved site	IPR001196
16	ArgE/DapE/ACY1/CPG2/YscS, conserved site	IPR001261
17	Dihydroorotate dehydrogenase, conserved site	IPR001295
18	Aminoacyl-tRNA synthetase, class I, conserved site	IPR001412
19	Tyrosine-protein kinase, receptor class V, conserved site	IPR001426
20	Indole-3-glycerol phosphate synthase, conserved site	IPR001468
21	Pyrokinin, conserved site	IPR001484
22	Zinc finger, Btk motif	IPR001562
23	Actinin-type actin-binding domain, conserved site	IPR001589
24	Histidinol dehydrogenase, conserved site	IPR001692
25	S100/Calcium binding protein 7/8-like, conserved site	IPR001751
26	Homeobox protein, antennapedia type, conserved site	IPR001827
27	NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site	IPR001949
28	Gonadotropin-releasing hormone	IPR002012
29	Alpha-isopropylmalate/homocitrate synthase, conserved site	IPR002034
30	DNA methylase, N-6 adenine-specific, conserved site	IPR002052
31	Carbohydrate/purine kinase, PfkB, conserved site	IPR002173
32	Chaperonin TCP-1, conserved site	IPR002194
33	Dihydroorotase, conserved site	IPR002195
34	Alcohol dehydrogenase, zinc-type, conserved site	IPR002328
35	Large ribosomal subunit protein uL6, conserved site	IPR002358
36	Large ribosomal subunit protein uL10, conserved site, bacteria	IPR002363
37	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	IPR002464
38	Immunoglobulin/major histocompatibility complex, conserved site	IPR003006
39	Uroporphiryn-III C-methyltransferase, conserved site	IPR003043
40	Mitogen-activated protein (MAP) kinase, conserved site	IPR003527
41	Ubiquitin interacting motif	IPR003903
42	ATPase, AAA-type, conserved site	IPR003960
43	Actin, conserved site	IPR004001
44	SEC-C motif	IPR004027
45	Large ribosomal subunit protein eL8-like, conserved site	IPR004037
46	Amino acid permease, conserved site	IPR004840
47	Glucokinase regulatory protein, conserved site	IPR005486
48	Large ribosomal subunit protein uL24, conserved site	IPR005825
49	Sugar transporter, conserved site	IPR005829
50	ADP-glucose pyrophosphorylase, conserved site	IPR005836
51	Syntaxin/epimorphin, conserved site	IPR006012
52	GTP1/OBG, conserved site	IPR006074
53	Acyl-CoA dehydrogenase, conserved site	IPR006089
54	3-hydroxyacyl-CoA dehydrogenase, conserved site	IPR006180
55	GHMP kinase, ATP-binding, conserved site	IPR006203
56	Photosystem II cytochrome b559, conserved site	IPR006216
57	Pseudouridine synthase, RluA-like, conserved site	IPR006224
58	Twin-arginine translocation pathway, signal sequence	IPR006311
59	LIS1 homology motif	IPR006594
60	Tryptophan synthase, beta chain, conserved site	IPR006653
61	Molybdopterin oxidoreductase, prokaryotic, conserved site	IPR006655
62	RNA polymerase, beta subunit, conserved site	IPR007121
63	Helix-hairpin-helix motif, class 2	IPR008918
64	Spider toxin CSTX, Knottin scaffold conserved site	IPR011142
