label	element_name	interpro_id
0	Kringle	IPR000001
1	C2 domain	IPR000008
2	Cystatin domain	IPR000010
3	PAS domain	IPR000014
4	Phosphofructokinase domain	IPR000023
5	Phosphocarrier protein HPr-like	IPR000032
6	Pectinesterase, catalytic	IPR000070
7	Alpha/beta hydrolase fold-1	IPR000073
8	NUDIX hydrolase domain	IPR000086
9	Biotin/lipoyl attachment	IPR000089
10	CRIB domain	IPR000095
11	PEP-utilising enzyme, C-terminal	IPR000121
12	Toll/interleukin-1 receptor homology (TIR) domain	IPR000157
13	GGDEF domain	IPR000160
14	Glucose-methanol-choline oxidoreductase, N-terminal	IPR000172
15	GNAT domain	IPR000182
16	Bacterial surface antigen (D15)	IPR000184
17	Aminotransferase class V domain	IPR000192
18	Rab-GAP-TBC domain	IPR000195
19	Rho GTPase-activating protein domain	IPR000198
20	BTB/POZ domain	IPR000210
21	Zinc finger, DNA glycosylase/AP lyase-type	IPR000214
22	Dbl homology (DH) domain	IPR000219
23	Heat shock factor (HSF)-type, DNA-binding	IPR000232
24	Ribosomal RNA large subunit methyltransferase K/L-like, methyltransferase domain	IPR000241
25	Tyrosine-specific protein phosphatase, PTPase domain	IPR000242
26	Cellulose-binding domain, fungal	IPR000254
27	Uroporphyrinogen decarboxylase (URO-D)	IPR000257
28	Fimbrial-type adhesion domain	IPR000259
29	EH domain	IPR000261
30	Gamma-carboxyglutamic acid-rich (GLA) domain	IPR000294
31	Peptidyl-prolyl cis-trans isomerase, PpiC-type	IPR000297
32	Cytochrome c oxidase subunit III-like	IPR000298
33	GIY-YIG endonuclease	IPR000305
34	FYVE zinc finger	IPR000306
35	B-box-type zinc finger	IPR000315
36	POU-specific domain	IPR000327
37	SNF2, N-terminal	IPR000330
38	Leucine-rich repeat N-terminal domain	IPR000372
39	Ets domain	IPR000418
40	Coagulation factor 5/8, C-terminal domain	IPR000421
41	DNA mismatch repair protein MutS, C-terminal	IPR000432
42	Zinc finger, ZZ-type	IPR000433
43	Sushi/SCR/CCP domain	IPR000436
44	G-patch domain	IPR000467
45	Cysteine-rich flanking region, C-terminal	IPR000483
46	Death domain	IPR000488
47	RNA recognition motif domain	IPR000504
48	Ketol-acid reductoisomerase, C-terminal	IPR000506
49	Nitrogenase/oxidoreductase, component 1	IPR000510
50	ABC transporter type 1, transmembrane domain MetI-like	IPR000515
51	Transcription regulator HTH, GntR	IPR000524
52	Glucagon/GIP/secretin/VIP	IPR000532
53	Semialdehyde dehydrogenase, NAD-binding	IPR000534
54	Nuclear hormone receptor, ligand-binding domain	IPR000536
55	HECT domain	IPR000569
56	Zinc finger, CCCH-type	IPR000571
57	Hemopexin-like domain	IPR000585
58	Creatinase, N-terminal	IPR000587
59	THIF-type NAD/FAD binding fold	IPR000594
60	Cyclic nucleotide-binding domain	IPR000595
61	Ubiquitin-conjugating enzyme E2	IPR000608
62	Ubiquitin-like domain	IPR000626
63	ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase	IPR000631
64	Elongation factor EFG, domain V-like	IPR000640
65	Peptidase M41	IPR000642
66	CBS domain	IPR000644
67	Ras-like guanine nucleotide exchange factor, N-terminal	IPR000651
68	Peptidase C1A, papain C-terminal	IPR000668
