label	element_name	interpro_id
0	Nitroreductase-like	IPR000415
1	Acyl transferase domain superfamily	IPR001227
2	Asp/Glu racemase	IPR001920
3	Pyruvate-flavodoxin oxidoreductase, central domain	IPR002869
4	Aspartyl/glutamyl-tRNA amidotransferase subunit B-like	IPR003789
5	GAD-like domain superfamily	IPR004115
6	L-fucose/L-arabinose isomerase, C-terminal	IPR004216
7	ADC synthase	IPR005801
8	Phosphoenolpyruvate carboxykinase, N-terminal	IPR008210
9	P-type ATPase, A domain superfamily	IPR008250
10	Tubulin/FtsZ, C-terminal	IPR008280
11	Transcription factor, Skn-1-like, DNA-binding domain superfamily	IPR008917
12	Transcription regulator FadR/GntR, C-terminal	IPR008920
13	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	IPR008921
14	Di-copper centre-containing domain superfamily	IPR008922
15	Aminoacyl-tRNA synthetase, class I, anticodon-binding superfamily	IPR008925
16	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	IPR008927
17	Six-hairpin glycosidase superfamily	IPR008928
18	Chondroitin AC/alginate lyase	IPR008929
19	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	IPR008930
20	Rho GTPase activation protein	IPR008936
21	ENTH/VHS	IPR008942
22	L-Aspartase-like	IPR008948
23	Isoprenoid synthase domain superfamily	IPR008949
24	Tetraspanin, EC2 domain superfamily	IPR008952
25	PapD-like superfamily	IPR008962
26	CBM2/CBM3, carbohydrate-binding domain superfamily	IPR008965
27	Adhesion domain superfamily	IPR008966
28	p53-like transcription factor, DNA-binding domain superfamily	IPR008967
29	HSP40/DnaJ peptide-binding	IPR008971
30	Cupredoxin	IPR008972
31	TRAF-like	IPR008974
32	HSP20-like chaperone	IPR008978
33	Galactose-binding-like domain superfamily	IPR008979
34	Tumour necrosis factor-like domain superfamily	IPR008983
35	SMAD/FHA domain superfamily	IPR008984
36	Translation protein SH3-like domain superfamily	IPR008991
37	Tissue inhibitor of metalloproteinases-like, OB-fold	IPR008993
38	Molybdate/tungstate binding, C-terminal	IPR008995
39	Cytokine IL1/FGF	IPR008996
40	Translation protein, beta-barrel domain superfamily	IPR009000
41	Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	IPR009001
42	Peptidase S1, PA clan	IPR009003
43	Alanine racemase/group IV decarboxylase, C-terminal	IPR009006
44	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain	IPR009008
45	Aspartate decarboxylase-like domain superfamily	IPR009010
46	Mannose-6-phosphate receptor binding domain superfamily	IPR009011
47	GrpE nucleotide exchange factor, head	IPR009012
48	Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II	IPR009014
49	L-fucose isomerase, N-terminal/central domain superfamily	IPR009015
50	K homology domain superfamily, prokaryotic type	IPR009019
